STATE_NAME,STATE_ABBR,MI06,MI07,MI08,MI09,MI10,MI11,MI12,MI13,MI14,MI15,MI16,GI06,GI07,GI08,GI09,GI10,GI11,GI12,GI13,GI14,GI15,GI16,BREW06,BREW07,BREW08,BREW09,BREW10,BREW11,BREW12,BREW13,BREW14,BREW15,BREW16
Alabama,AL,38783,40554,42666,40489,40474,41415,41574,42849,42830,44765,46257,0.472,0.471,0.467,0.471,0.472,0.4735,0.4726,0.4752,0.4758,0.4811,0.4847,4,5,5,5,7,9,15,23,25,30,37
Alaska,AK,59393,64333,68460,66953,64576,67825,67712,72237,71583,73355,76440,0.417,0.409,0.403,0.402,0.422,0.4099,0.4232,0.4083,0.4175,0.4322,0.4081,14,15,16,18,20,23,25,25,28,35,36
Arizona,AZ,47265,49889,50958,48745,46789,46709,47826,48510,50068,51492,53558,0.454,0.448,0.453,0.451,0.455,0.46,0.4608,0.4681,0.4676,0.4702,0.4713,4,4,4,5,5,7,13,18,23,29,34
Arkansas,AR,36599,38134,38815,37823,38307,38758,40112,40511,41262,41995,44334,0.46,0.462,0.459,0.461,0.458,0.4684,0.4632,0.4685,0.4714,0.4773,0.4719,33,33,33,34,37,45,55,59,77,91,110
California,CA,56645,59948,61021,58931,57708,57287,58328,60190,61933,64500,67739,0.466,0.469,0.473,0.467,0.471,0.4812,0.4822,0.4903,0.489,0.4876,0.4899,293,310,333,340,358,401,472,528,654,788,927
Colorado,CO,52015,55212,56993,55430,54046,55387,56765,58823,61303,63909,65685,0.45,0.452,0.457,0.453,0.457,0.4588,0.4579,0.4614,0.4584,0.458,0.4586,102,112,117,116,129,149,185,234,300,352,386
Connecticut,CT,63422,65967,68595,67034,64032,65753,67276,67098,70048,71346,73433,0.48,0.481,0.486,0.48,0.486,0.4859,0.4915,0.4994,0.5005,0.4916,0.4945,18,19,21,19,21,20,24,39,50,59,76
Delaware,DE,52833,54610,57989,56860,55847,58814,58415,57846,59716,61255,61757,0.434,0.435,0.447,0.434,0.44,0.4404,0.4356,0.4513,0.4494,0.4523,0.4522,4,3,3,3,4,6,5,11,12,13,13
Florida,FL,45495,47804,47778,44736,44409,44299,45040,46036,47463,49426,50860,0.467,0.469,0.471,0.469,0.474,0.4811,0.4828,0.4843,0.4834,0.4872,0.4852,9,10,9,11,11,12,13,13,15,21,25
Georgia,GA,46832,49136,50861,47590,46430,46007,47209,47829,49321,51244,53559,0.461,0.464,0.467,0.469,0.468,0.477,0.4809,0.4837,0.4801,0.4801,0.4813,51,50,61,52,60,71,89,113,158,205,264
Hawaii,HI,61160,63746,67214,64098,63030,61821,66259,68020,69592,73486,74511,0.438,0.422,0.428,0.425,0.433,0.4301,0.4257,0.44,0.4325,0.4346,0.442,22,23,20,22,26,25,31,37,48,54,69
Idaho,ID,42865,46253,47576,44926,43490,43341,45489,46783,47861,48275,51807,0.421,0.436,0.419,0.421,0.433,0.432,0.4302,0.4376,0.4541,0.4525,0.4503,12,12,11,11,11,12,15,17,20,26,23
Illinois,IL,52006,54124,56235,53966,52972,53234,55137,56210,57444,59588,60960,0.462,0.466,0.467,0.469,0.465,0.4718,0.4716,0.4824,0.4765,0.4817,0.481,19,20,21,28,27,35,46,54,60,71,94
Indiana,IN,45394,47448,47966,45424,44613,46438,46974,47529,49446,50532,52314,0.432,0.429,0.437,0.434,0.44,0.4461,0.4417,0.4554,0.4455,0.4519,0.4527,20,20,24,25,25,33,39,42,51,57,67
Iowa,IA,44491,47292,48980,48044,47961,49427,50957,52229,53712,54736,56247,0.424,0.426,0.428,0.431,0.427,0.434,0.4328,0.4429,0.4433,0.4393,0.4451,45,52,51,60,62,68,95,123,164,210,244
Kansas,KS,45478,47451,50177,47817,48257,48964,50241,50972,52504,53906,54935,0.441,0.444,0.442,0.444,0.445,0.4442,0.4496,0.4589,0.4597,0.4596,0.455,25,30,30,39,43,59,72,95,116,151,163
Kentucky,KY,39372,40267,41538,40072,40062,41141,41724,43399,42958,45215,46659,0.46,0.465,0.467,0.464,0.466,0.4709,0.4667,0.4721,0.4704,0.4781,0.4813,17,18,17,17,17,21,21,25,27,37,47
Louisiana,LA,39337,40926,43733,42492,42505,41734,42944,44164,44555,45727,45146,0.475,0.478,0.477,0.473,0.475,0.4836,0.4859,0.4914,0.4902,0.4909,0.499,10,12,12,15,14,21,25,25,38,48,60
Maine,ME,43439,45888,46581,45734,45815,46033,46709,46974,49462,51494,53079,0.428,0.44,0.436,0.432,0.437,0.4509,0.445,0.4532,0.4593,0.4523,0.4519,10,10,10,11,12,12,12,15,17,25,34
Maryland,MD,65144,68080,70545,69272,68854,70004,71122,72483,73971,75847,78945,0.433,0.442,0.438,0.448,0.443,0.4466,0.4473,0.4555,0.4491,0.4524,0.4499,40,43,45,44,48,52,65,82,98,124,146
Massachusetts,MA,59963,62365,65401,64081,62072,62859,65339,66768,69160,70628,75297,0.461,0.467,0.471,0.468,0.475,0.4771,0.4813,0.4837,0.4863,0.4848,0.4786,26,24,24,26,24,26,40,43,55,73,88
Michigan,MI,47182,47950,48591,45255,45413,45981,46859,48273,49847,51084,52492,0.444,0.448,0.451,0.453,0.451,0.4612,0.4624,0.4641,0.4598,0.4667,0.4695,43,43,43,42,44,49,53,60,71,84,102
