STATE_NAME,STATE_ABBR,MI06,MI07,MI08,MI09,MI10,MI11,MI12,MI13,MI14,MI15,MI16,GI06,GI07,GI08,GI09,GI10,GI11,GI12,GI13,GI14,GI15,GI16
Alabama,AL,"38,783.00","40,554.00","42,666.00","40,489.00","40,474.00","41,415.00","41,574.00","42,849.00","42,830.00","44,765.00","46,257.00",0.472,0.471,0.467,0.471,0.472,0.4735,0.4726,0.4752,0.4758,0.4811,0.4847
Alaska,AK,"59,393.00","64,333.00","68,460.00","66,953.00","64,576.00","67,825.00","67,712.00","72,237.00","71,583.00","73,355.00","76,440.00",0.417,0.409,0.403,0.402,0.422,0.4099,0.4232,0.4083,0.4175,0.4322,0.4081
Arizona,AZ,"47,265.00","49,889.00","50,958.00","48,745.00","46,789.00","46,709.00","47,826.00","48,510.00","50,068.00","51,492.00","53,558.00",0.454,0.448,0.453,0.451,0.455,0.46,0.4608,0.4681,0.4676,0.4702,0.4713
Arkansas,AR,"36,599.00","38,134.00","38,815.00","37,823.00","38,307.00","38,758.00","40,112.00","40,511.00","41,262.00","41,995.00","44,334.00",0.46,0.462,0.459,0.461,0.458,0.4684,0.4632,0.4685,0.4714,0.4773,0.4719
California,CA,"56,645.00","59,948.00","61,021.00","58,931.00","57,708.00","57,287.00","58,328.00","60,190.00","61,933.00","64,500.00","67,739.00",0.466,0.469,0.473,0.467,0.471,0.4812,0.4822,0.4903,0.489,0.4876,0.4899
Colorado,CO,"52,015.00","55,212.00","56,993.00","55,430.00","54,046.00","55,387.00","56,765.00","58,823.00","61,303.00","63,909.00","65,685.00",0.45,0.452,0.457,0.453,0.457,0.4588,0.4579,0.4614,0.4584,0.458,0.4586
Connecticut,CT,"63,422.00","65,967.00","68,595.00","67,034.00","64,032.00","65,753.00","67,276.00","67,098.00","70,048.00","71,346.00","73,433.00",0.48,0.481,0.486,0.48,0.486,0.4859,0.4915,0.4994,0.5005,0.4916,0.4945
Delaware,DE,"52,833.00","54,610.00","57,989.00","56,860.00","55,847.00","58,814.00","58,415.00","57,846.00","59,716.00","61,255.00","61,757.00",0.434,0.435,0.447,0.434,0.44,0.4404,0.4356,0.4513,0.4494,0.4523,0.4522
Florida,FL,"45,495.00","47,804.00","47,778.00","44,736.00","44,409.00","44,299.00","45,040.00","46,036.00","47,463.00","49,426.00","50,860.00",0.467,0.469,0.471,0.469,0.474,0.4811,0.4828,0.4843,0.4834,0.4872,0.4852
Georgia,GA,"46,832.00","49,136.00","50,861.00","47,590.00","46,430.00","46,007.00","47,209.00","47,829.00","49,321.00","51,244.00","53,559.00",0.461,0.464,0.467,0.469,0.468,0.477,0.4809,0.4837,0.4801,0.4801,0.4813
Hawaii,HI,"61,160.00","63,746.00","67,214.00","64,098.00","63,030.00","61,821.00","66,259.00","68,020.00","69,592.00","73,486.00","74,511.00",0.438,0.422,0.428,0.425,0.433,0.4301,0.4257,0.44,0.4325,0.4346,0.442
Idaho,ID,"42,865.00","46,253.00","47,576.00","44,926.00","43,490.00","43,341.00","45,489.00","46,783.00","47,861.00","48,275.00","51,807.00",0.421,0.436,0.419,0.421,0.433,0.432,0.4302,0.4376,0.4541,0.4525,0.4503
Illinois,IL,"52,006.00","54,124.00","56,235.00","53,966.00","52,972.00","53,234.00","55,137.00","56,210.00","57,444.00","59,588.00","60,960.00",0.462,0.466,0.467,0.469,0.465,0.4718,0.4716,0.4824,0.4765,0.4817,0.481
Indiana,IN,"45,394.00","47,448.00","47,966.00","45,424.00","44,613.00","46,438.00","46,974.00","47,529.00","49,446.00","50,532.00","52,314.00",0.432,0.429,0.437,0.434,0.44,0.4461,0.4417,0.4554,0.4455,0.4519,0.4527
Iowa,IA,"44,491.00","47,292.00","48,980.00","48,044.00","47,961.00","49,427.00","50,957.00","52,229.00","53,712.00","54,736.00","56,247.00",0.424,0.426,0.428,0.431,0.427,0.434,0.4328,0.4429,0.4433,0.4393,0.4451
Kansas,KS,"45,478.00","47,451.00","50,177.00","47,817.00","48,257.00","48,964.00","50,241.00","50,972.00","52,504.00","53,906.00","54,935.00",0.441,0.444,0.442,0.444,0.445,0.4442,0.4496,0.4589,0.4597,0.4596,0.455
Kentucky,KY,"39,372.00","40,267.00","41,538.00","40,072.00","40,062.00","41,141.00","41,724.00","43,399.00","42,958.00","45,215.00","46,659.00",0.46,0.465,0.467,0.464,0.466,0.4709,0.4667,0.4721,0.4704,0.4781,0.4813
Louisiana,LA,"39,337.00","40,926.00","43,733.00","42,492.00","42,505.00","41,734.00","42,944.00","44,164.00","44,555.00","45,727.00","45,146.00",0.475,0.478,0.477,0.473,0.475,0.4836,0.4859,0.4914,0.4902,0.4909,0.499
Maine,ME,"43,439.00","45,888.00","46,581.00","45,734.00","45,815.00","46,033.00","46,709.00","46,974.00","49,462.00","51,494.00","53,079.00",0.428,0.44,0.436,0.432,0.437,0.4509,0.445,0.4532,0.4593,0.4523,0.4519
Maryland,MD,"65,144.00","68,080.00","70,545.00","69,272.00","68,854.00","70,004.00","71,122.00","72,483.00","73,971.00","75,847.00","78,945.00",0.433,0.442,0.438,0.448,0.443,0.4466,0.4473,0.4555,0.4491,0.4524,0.4499
Massachusetts,MA,"59,963.00","62,365.00","65,401.00","64,081.00","62,072.00","62,859.00","65,339.00","66,768.00","69,160.00","70,628.00","75,297.00",0.461,0.467,0.471,0.468,0.475,0.4771,0.4813,0.4837,0.4863,0.4848,0.4786
Michigan,MI,"47,182.00","47,950.00","48,591.00","45,255.00","45,413.00","45,981.00","46,859.00","48,273.00","49,847.00","51,084.00","52,492.00",0.444,0.448,0.451,0.453,0.451,0.4612,0.4624,0.4641,0.4598,0.4667,0.4695
Minnesota,MN,"54,023.00","55,802.00","57,288.00","55,616.00","55,459.00","56,954.00","58,906.00","60,702.00","61,481.00","63,488.00","65,599.00",0.43,0.436,0.445,0.439,0.44,0.4436,0.4441,0.4462,0.4539,0.4492,0.4496
Mississippi,MS,"34,473.00","36,338.00","37,790.00","36,646.00","36,851.00","36,919.00","37,095.00","37,963.00","39,680.00","40,593.00","41,754.00",0.471,0.48,0.478,0.47,0.468,0.4735,0.487,0.4791,0.476,0.4759,0.4828
Missouri,MO,"42,841.00","45,114.00","46,867.00","45,229.00","44,301.00","45,247.00","45,321.00","46,931.00","48,363.00","50,238.00","51,746.00",0.449,0.45,0.448,0.45,0.455,0.4611,0.4608,0.4605,0.4628,0.4634,0.4646
Montana,MT,"40,627.00","43,531.00","43,654.00","42,322.00","42,666.00","44,222.00","45,076.00","46,972.00","46,328.00","49,509.00","50,027.00",0.426,0.443,0.449,0.431,0.435,0.4351,0.4502,0.462,0.4544,0.4623,0.4667
