STATE_NAME,STATE_ABBR,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Alabama,AL,4,5,5,5,7,9,15,23,25,30,37
Alaska,AK,14,15,16,18,20,23,25,25,28,35,36
Arizona,AZ,4,4,4,5,5,7,13,18,23,29,34
Arkansas,AR,33,33,33,34,37,45,55,59,77,91,110
California,CA,293,310,333,340,358,401,472,528,654,788,927
Colorado,CO,102,112,117,116,129,149,185,234,300,352,386
Connecticut,CT,18,19,21,19,21,20,24,39,50,59,76
Delaware,DE,4,3,3,3,4,6,5,11,12,13,13
Florida,FL,9,10,9,11,11,12,13,13,15,21,25
Georgia,GA,51,50,61,52,60,71,89,113,158,205,264
Hawaii,HI,22,23,20,22,26,25,31,37,48,54,69
Idaho,ID,12,12,11,11,11,12,15,17,20,26,23
Illinois,IL,19,20,21,28,27,35,46,54,60,71,94
Indiana,IN,20,20,24,25,25,33,39,42,51,57,67
Iowa,IA,45,52,51,60,62,68,95,123,164,210,244
Kansas,KS,25,30,30,39,43,59,72,95,116,151,163
Kentucky,KY,17,18,17,17,17,21,21,25,27,37,47
Louisiana,LA,10,12,12,15,14,21,25,25,38,48,60
Maine,ME,10,10,10,11,12,12,12,15,17,25,34
Maryland,MD,40,43,45,44,48,52,65,82,98,124,146
Massachusetts,MA,26,24,24,26,24,26,40,43,55,73,88
Michigan,MI,43,43,43,42,44,49,53,60,71,84,102
Minnesota,MN,91,94,96,104,111,131,160,195,256,316,379
Mississippi,MS,35,34,36,39,42,56,70,75,113,142,165
Missouri,MO,34,38,38,47,51,55,60,63,77,90,116
Montana,MT,0,0,0,0,3,0,4,7,10,14,14
Nebraska,NE,22,26,31,31,31,35,41,49,62,74,79
Nevada,NV,46,45,50,52,61,71,94,125,155,207,260
New Hampshire,NH,3,3,3,3,3,3,7,8,10,11,15
New Jersey,NJ,16,17,16,17,16,18,20,25,35,39,47
New Mexico,NM,14,15,16,17,19,21,25,35,46,63,73
New York,NY,21,21,20,22,24,31,29,37,49,71,96
North Carolina,NC,23,21,20,21,26,30,38,48,60,71,86
North Dakota,ND,16,16,17,18,20,20,23,26,34,39,44
Ohio,OH,82,77,81,84,100,123,150,193,255,329,394
Oklahoma,OK,57,58,66,66,75,81,99,114,151,187,236
Oregon,OR,7,6,9,10,10,10,13,17,18,21,26
Pennsylvania,PA,95,96,108,108,120,148,180,220,244,281,304
Rhode Island,RI,81,94,97,96,118,146,162,183,233,278,333
South Carolina,SC,5,5,5,5,5,6,9,12,14,15,17
South Dakota,SD,16,17,16,15,16,17,23,30,37,51,59
Tennessee,TN,7,8,7,7,8,9,12,12,15,19,21
Texas,TX,19,22,23,23,26,31,45,51,69,88,101
Utah,UT,47,45,47,47,59,84,107,128,170,220,266
Vermont,VT,17,15,15,18,18,18,22,24,27,29,34
Virginia,VA,35,35,43,42,44,54,67,85,117,155,209
Washington,WA,24,22,24,27,32,34,39,45,51,66,73
West Virginia,WV,108,110,121,138,157,188,230,266,314,383,424
Wisconsin,WI,103,105,110,108,119,126,146,146,168,189,217
Wyoming,WY,6,6,6,8,8,8,8,9,13,17,24
