STATE_NAME,STATE_ABBR,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Alabama,AL,0.528,0.529,0.533,0.529,0.528,0.5265,0.5274,0.5248,0.5242,0.5189,0.5153
Alaska,AK,0.583,0.591,0.597,0.598,0.578,0.5901,0.5768,0.5917,0.5825,0.5678,0.5919
Arizona,AZ,0.546,0.552,0.547,0.549,0.545,0.54,0.5392,0.5319,0.5324,0.5298,0.5287
Arkansas,AR,0.54,0.538,0.541,0.539,0.542,0.5316,0.5368,0.5315,0.5286,0.5227,0.5281
California,CA,0.534,0.531,0.527,0.533,0.529,0.5188,0.5178,0.5097,0.511,0.5124,0.5101
Colorado,CO,0.55,0.548,0.543,0.547,0.543,0.5412,0.5421,0.5386,0.5416,0.542,0.5414
Connecticut,CT,0.52,0.519,0.514,0.52,0.514,0.5141,0.5085,0.5006,0.4995,0.5084,0.5055
Delaware,DE,0.566,0.565,0.553,0.566,0.56,0.5596,0.5644,0.5487,0.5506,0.5477,0.5478
Florida,FL,0.533,0.531,0.529,0.531,0.526,0.5189,0.5172,0.5157,0.5166,0.5128,0.5148
Georgia,GA,0.539,0.536,0.533,0.531,0.532,0.523,0.5191,0.5163,0.5199,0.5199,0.5187
Hawaii,HI,0.562,0.578,0.572,0.575,0.567,0.5699,0.5743,0.56,0.5675,0.5654,0.558
Idaho,ID,0.579,0.564,0.581,0.579,0.567,0.568,0.5698,0.5624,0.5459,0.5475,0.5497
Illinois,IL,0.538,0.534,0.533,0.531,0.535,0.5282,0.5284,0.5176,0.5235,0.5183,0.519
Indiana,IN,0.568,0.571,0.563,0.566,0.56,0.5539,0.5583,0.5446,0.5545,0.5481,0.5473
Iowa,IA,0.576,0.574,0.572,0.569,0.573,0.566,0.5672,0.5571,0.5567,0.5607,0.5549
Kansas,KS,0.559,0.556,0.558,0.556,0.555,0.5558,0.5504,0.5411,0.5403,0.5404,0.545
Kentucky,KY,0.54,0.535,0.533,0.536,0.534,0.5291,0.5333,0.5279,0.5296,0.5219,0.5187
Louisiana,LA,0.525,0.522,0.523,0.527,0.525,0.5164,0.5141,0.5086,0.5098,0.5091,0.501
Maine,ME,0.572,0.56,0.564,0.568,0.563,0.5491,0.555,0.5468,0.5407,0.5477,0.5481
Maryland,MD,0.567,0.558,0.562,0.552,0.557,0.5534,0.5527,0.5445,0.5509,0.5476,0.5501
Massachusetts,MA,0.539,0.533,0.529,0.532,0.525,0.5229,0.5187,0.5163,0.5137,0.5152,0.5214
Michigan,MI,0.556,0.552,0.549,0.547,0.549,0.5388,0.5376,0.5359,0.5402,0.5333,0.5305
Minnesota,MN,0.57,0.564,0.555,0.561,0.56,0.5564,0.5559,0.5538,0.5461,0.5508,0.5504
Mississippi,MS,0.529,0.52,0.522,0.53,0.532,0.5265,0.513,0.5209,0.524,0.5241,0.5172
Missouri,MO,0.551,0.55,0.552,0.55,0.545,0.5389,0.5392,0.5395,0.5372,0.5366,0.5354
Montana,MT,0.574,0.557,0.551,0.569,0.565,0.5649,0.5498,0.538,0.5456,0.5377,0.5333
Nebraska,NE,0.57,0.571,0.573,0.56,0.568,0.5533,0.5661,0.5555,0.5648,0.5527,0.5523
Nevada,NV,0.566,0.563,0.569,0.567,0.552,0.5474,0.5484,0.5457,0.5573,0.5452,0.5423
New Hampshire,NH,0.583,0.583,0.581,0.569,0.575,0.5653,0.5702,0.5613,0.559,0.5653,0.5696
New Jersey,NJ,0.542,0.536,0.538,0.535,0.536,0.5306,0.5282,0.52,0.5243,0.5168,0.5187
New Mexico,NM,0.543,0.541,0.54,0.547,0.536,0.5179,0.5287,0.5241,0.523,0.5205,0.5231
New York,NY,0.505,0.5,0.497,0.498,0.501,0.4967,0.4991,0.4902,0.4889,0.4862,0.4871
