STATE_NAME,STATE_ABBR,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Alabama,AL,38783,40554,42666,40489,40474,41415,41574,42849,42830,44765,46257
Alaska,AK,59393,64333,68460,66953,64576,67825,67712,72237,71583,73355,76440
Arizona,AZ,47265,49889,50958,48745,46789,46709,47826,48510,50068,51492,53558
Arkansas,AR,36599,38134,38815,37823,38307,38758,40112,40511,41262,41995,44334
California,CA,56645,59948,61021,58931,57708,57287,58328,60190,61933,64500,67739
Colorado,CO,52015,55212,56993,55430,54046,55387,56765,58823,61303,63909,65685
Connecticut,CT,63422,65967,68595,67034,64032,65753,67276,67098,70048,71346,73433
Delaware,DE,52833,54610,57989,56860,55847,58814,58415,57846,59716,61255,61757
Florida,FL,45495,47804,47778,44736,44409,44299,45040,46036,47463,49426,50860
Georgia,GA,46832,49136,50861,47590,46430,46007,47209,47829,49321,51244,53559
Hawaii,HI,61160,63746,67214,64098,63030,61821,66259,68020,69592,73486,74511
Idaho,ID,42865,46253,47576,44926,43490,43341,45489,46783,47861,48275,51807
Illinois,IL,52006,54124,56235,53966,52972,53234,55137,56210,57444,59588,60960
Indiana,IN,45394,47448,47966,45424,44613,46438,46974,47529,49446,50532,52314
Iowa,IA,44491,47292,48980,48044,47961,49427,50957,52229,53712,54736,56247
Kansas,KS,45478,47451,50177,47817,48257,48964,50241,50972,52504,53906,54935
Kentucky,KY,39372,40267,41538,40072,40062,41141,41724,43399,42958,45215,46659
Louisiana,LA,39337,40926,43733,42492,42505,41734,42944,44164,44555,45727,45146
Maine,ME,43439,45888,46581,45734,45815,46033,46709,46974,49462,51494,53079
Maryland,MD,65144,68080,70545,69272,68854,70004,71122,72483,73971,75847,78945
Massachusetts,MA,59963,62365,65401,64081,62072,62859,65339,66768,69160,70628,75297
Michigan,MI,47182,47950,48591,45255,45413,45981,46859,48273,49847,51084,52492
Minnesota,MN,54023,55802,57288,55616,55459,56954,58906,60702,61481,63488,65599
Mississippi,MS,34473,36338,37790,36646,36851,36919,37095,37963,39680,40593,41754
Missouri,MO,42841,45114,46867,45229,44301,45247,45321,46931,48363,50238,51746
Montana,MT,40627,43531,43654,42322,42666,44222,45076,46972,46328,49509,50027
Nebraska,NE,45474,47085,49693,47357,48408,50296,50723,51440,52686,54996,56927
Nevada,NV,52998,55062,56361,53341,51001,48927,49760,51230,51450,52431,55180
New Hampshire,NH,59683,62369,63731,60567,61042,62647,63280,64230,66532,70303,70936
New Jersey,NJ,64470,67035,70378,68342,67681,67458,69667,70165,71919,72222,76126
New Mexico,NM,40629,41452,43508,43028,42090,41963,42558,43872,44803,45382,46748
New York,NY,51384,53514,56033,54659,54148,55246,56448,57369,58878,60850,62909
North Carolina,NC,42625,44670,46549,43674,43326,43916,45150,45906,46556,47830,50584
North Dakota,ND,41919,43753,45685,47827,48670,51704,53585,55759,59029,60557,60656
Ohio,OH,44532,46597,47988,45395,45090,45749,46829,48081,49308,51075,52334
Oklahoma,OK,38770,41567,42822,41664,42072,43225,44312,45690,47529,48568,49176
Oregon,OR,46230,48730,50169,48457,46560,46816,49161,50251,51075,54148,57532
Pennsylvania,PA,46259,48576,50713,49520,49288,50228,51230,52007,53234,55702,56907
Rhode Island,RI,51814,53568,55701,54119,52254,53636,54554,55902,54891,58073,60596
South Carolina,SC,41100,43329,44625,42442,42018,42367,43107,44163,45238,47238,49501
South Dakota,SD,42791,43424,46032,45043,45904,48321,48362,48947,50979,53017,54467
Tennessee,TN,40315,42367,43614,41725,41461,41693,42764,44297,44361,47275,48547
Texas,TX,44922,47548,50043,48259,48615,49392,50740,51704,53035,55653,56565
Utah,UT,51309,55109,56633,55117,54744,55869,57049,59770,60922,62912,65977
Vermont,VT,47665,49907,52104,51618,49406,52776,52977,52578,54166,56990,57677
Virginia,VA,56277,59562,61233,59330,60674,61882,61741,62666,64902,66262,68114
Washington,WA,52583,55591,58078,56548,55631,56835,57573,58405,61366,64129,67106
West Virginia,WV,35059,37060,37989,37435,38218,38482,40196,41253,41059,42019,43385
Wisconsin,WI,48772,50578,52094,49993,49001,50395,51059,51467,52622,55638,56811
Wyoming,WY,47423,51731,53207,52664,53512,56322,54901,58752,57055,60214,59882
